"1Cor" "1Thes" "1Tim" "2Cor" "2Thes" "2Tim" "Col" "Eph" "Gal" "Hbr" "Lao" "Phlm" "Phlp" "Rom" "Tit"
"quod" 1.13046135044302 0.427046263345196 0.43997485857951 1.11368909512761 0.930851063829787 0.341588385994876 1.09289617486339 0.743494423791822 0.797373358348968 0.672743055555556 1.63265306122449 1.5527950310559 0.704676489429853 0.754375377187689 0
"per" 0.427742132600061 0.427046263345196 0.251414204902577 0.788863109048724 1.1968085106383 0.768573868488471 0.887978142076503 0.743494423791822 0.844277673545966 0.998263888888889 2.04081632653061 0.62111801242236 0.576553491351698 1.10138805069403 0.452488687782805
"dei" 0.702719217842958 0.782918149466192 0.691389063482087 0.672853828306265 0.930851063829787 0.597779675491033 0.956284153005464 0.882899628252788 0.422138836772983 0.499131944444444 0.408163265306122 0 0.51249199231262 1.08630054315027 1.50829562594268
"sunt" 0.886037274671555 0.427046263345196 0.87994971715902 0.556844547563805 0.132978723404255 0.597779675491033 1.29781420765027 0.232342007434944 0.703564727954972 0.651041666666667 1.22448979591837 0 0.832799487508008 0.980687990343995 0.904977375565611
"ad" 0.443018637335778 1.06761565836299 0.565681961030798 0.881670533642691 0.132978723404255 1.53714773697694 0.751366120218579 0.464684014869888 0.422138836772983 0.998263888888889 0.816326530612245 0.62111801242236 1.1531069827034 0.709112854556427 0.904977375565611
"si" 1.40543843568592 0.213523131672598 0.942803268384664 0.603248259860789 0.398936170212766 0.426985482493595 0.341530054644809 0.139405204460967 0.844277673545966 0.499131944444444 0 0.62111801242236 0.640614990390775 0.829812914906457 0.150829562594268
"vobis" 0.748548732050107 1.70818505338078 0 1.18329466357309 1.99468085106383 0 1.22950819672131 0.604089219330855 1.03189493433396 0.282118055555556 2.04081632653061 0.93167701863354 1.08904548366432 0.36210018105009 0.150829562594268
"quae" 0 0.427046263345196 1.19421747328724 0.788863109048724 0.132978723404255 1.19555935098207 1.50273224043716 1.06877323420074 0.984990619136961 0.520833333333333 1.22448979591837 0.31055900621118 1.28122998078155 0.603500301750151 0.904977375565611
"cum" 0.626336694164375 0.854092526690391 0.691389063482087 0.672853828306265 1.06382978723404 0.512382578992314 0.887978142076503 0.604089219330855 1.03189493433396 0.520833333333333 0.408163265306122 0.62111801242236 0.704676489429853 0.497887748943874 0.904977375565611
"jesu" 0.305530094714329 0.569395017793594 0.691389063482087 0.301624129930394 1.46276595744681 1.02476515798463 0.683060109289617 0.882899628252788 0.656660412757974 0.0217013888888889 0.816326530612245 2.48447204968944 1.28122998078155 0.347012673506337 0.452488687782805
"a" 0.290253589978613 1.06761565836299 0.314267756128221 0.580046403712297 0.930851063829787 1.02476515798463 0.341530054644809 0.511152416356877 0.515947467166979 0.455729166666667 1.22448979591837 0.62111801242236 0.320307495195388 0.437537718768859 0.301659125188537
"ex" 0.274977085242896 0 0.125707102451288 0.626450116009281 0 0.426985482493595 0.546448087431694 0.278810408921933 1.17260787992495 0.238715277777778 0.408163265306122 0.31055900621118 0.576553491351698 0.829812914906457 0.452488687782805
"sicut" 0.488848151542927 1.28113879003559 0.0628535512256442 0.48723897911833 0.132978723404255 0.170794192997438 0.614754098360656 0.836431226765799 0.422138836772983 0.238715277777778 0 0.31055900621118 0.448430493273543 0.588412794206397 0.301659125188537
"christi" 0.427742132600061 0.427046263345196 0.314267756128221 0.626450116009281 1.06382978723404 0.256191289496157 0.819672131147541 0.743494423791822 0.609756097560976 0.130208333333333 0.408163265306122 0.93167701863354 0.896860986547085 0.301750150875075 0.301659125188537
"deo" 0.320806599450046 0.925266903914591 0.43997485857951 0.533642691415313 0.664893617021277 0.426985482493595 0.478142076502732 0.371747211895911 0.328330206378987 0.303819444444444 0.408163265306122 0.62111801242236 0.51249199231262 0.497887748943874 0.301659125188537
